Item Name,Phase,Status,Priority,Complexity,Description
Steam Workshop Automation,1,Complete,High,Medium,"Automates mod download, rename, move, and key extraction."
CDLC Mod Handling,1,Complete,High,Medium,"Adds support for CDLCs like GM, VN, etc."
Log Rotation and Summary,2,Planned,Medium,Low,"Rotate logs, create summary reports per deployment."
Mod List Diff Tool,2,Planned,High,Medium,Compare mods.json vs installed mods to detect differences.
Interactive CLI Menu,2,Planned,Medium,Medium,Add menu interface for managing mod processes.
Dependency Checker,2,Planned,Low,Medium,Detect mods missing dependencies like CBA_A3.
Self-Check Script,2,Planned,Medium,Low,"Check for disk space, permissions, Steam auth."
Discord Bot Integration,3,Planned,High,Medium,"Upload HTML/json mod lists, trigger updates."
Web Dashboard,3,Planned,High,High,Web-based UI to manage all mod operations.
Mod Version Tracker,4,Planned,Medium,High,"Track installed mod versions, compare to Steam."
Auto-Restart on Mod Update,4,Planned,Medium,High,Restart server automatically when mods change.
CDN Sync for Swifty,4,Planned,Medium,High,Push Swifty repo to cloud for faster client download.
Backup and Rollback System,4,Planned,High,Medium,Snapshot mod states and restore from archive.
Shared Mod Presets,5,Planned,Medium,Medium,Upload/download mission-specific modpacks.
Mod Tagging and Ratings,5,Planned,Low,Medium,Add ratings/tags to mods.json for metadata use.
